content,score,date,option,satis_list
작은용량이 필요했는데 딱 좋습니다,5,23.08.29.,상품선택: 할인행사) 올뉴플러스TS샴푸 100g x 5개,"['두피자극_보통이에요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
써보지는 않았지만 좋다고 해서 주문했어요,5,23.08.29.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
아직 사용전이지만 사용후기가 너무 좋아서 사용해 보려 합니다 한달후 사용 후기 올리겠습니다,5,23.08.19.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['헤어_건성가는 모발탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
재구매빠른 배송 감사합니다 꾸준히 사용하고 있어요,5,23.09.07.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
빠른배송및 품질에대해해서 만족합니다,5,23.08.13.,상품선택: [탈모케어] 올뉴플러스TS샴푸 500g,"['헤어_건성탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
꼼꼼하고빠른배송 좋아요,5,23.09.05.,상품선택: [탈모케어] 올뉴플러스TS샴푸 500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기아주 매우 마음에 듭니다,3,23.09.03.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
만족스럽습니다 많이파세요,5,23.08.10.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기아빠가 건강해지는거 같아서 너무좋다고 하십니다 꾸준히 쓰늗 제품이에요,5,23.08.23.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
항상 엄마가 이것만 사용합니다,5,23.08.27.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
항상 쓰던거 샀습니다.,5,23.08.02.,상품선택: 할인행사) 뉴프리미엄TS샴푸 100g x 5개,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
한달사용기잘쓰고있습니다!!!,5,23.08.03.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
빠른 배송 감사합니다,5,23.07.27.,상품선택: [탈모케어] 골드플러스TS샴푸500g,"['세정력_보통이에요', '두피자극_순해요', '탈모케어_잘 모르겠어요']"
