content,score,date,option
요즘들어 머리카락이 많이 빠져서 탈모샴푸를 종류별로 바꿔가며 쓰고 있어요. 가장 잘 맞는 샴푸가 있으면 정착하려구요. 그런데 이건 저한테는 맞지 않나봐요. 머리카락이 더 많이 빠지고 특히 빗질도 안되서 빗질할 때마다 한움큼씩 빠지네요. 쓰던 샴푸 중 역대급으로 많이 빠지는듯ㅠ 맞으시는 분들도 많은거 같던데 케바케인듯.,1,20.11.02.,
"물건 자체는 문제가 없으나 판매자가 온라인 쇼핑몰을 하면 안되는 사람입니다.사람들 QA 올려둔 거 보세요. 저는 11일에 주문하고 어제 16일에 왔는데, 송장은 오늘 17일에야 왔습니다.샴푸가 떨어져서 산 거라 문의해도 답도 없는 판매자 것을 취소요청하고 다른 상품을 주문했는데, 그건 오늘 도착 예정이네요. 당연히 취소요청에도 응답하지 않더군요. 결과적으로는 아까운 배송비만 2중으로 문 셈이 되었습니다.  제때 보내지 않는데다 문의에는 답도 제대로 하지 않는 판매자 상품 사시면 괜히 정신건강에 해롭습니다. 조심하세요.",1,22.08.17.,
제품은 지금까지 사용해본 결과 좋으며 배송도 예정보다 빠르나 샴푸 3개중 2개의 펌프 머리가 깨져서 왔어요... 하나 쓰고 펌프 재활용 하라는 건지..  과대포장도 안 좋치만 포장미흡으로 제품 손상이 더 안좋은듯. 박스 포장시 파손 주의 문구도 없고... 배송비도 별도로 받으면서......,1,21.03.15.,
주문하고 4일이 지나도 배송출발이 안떠서 주문취소했는데 주문취소도 무시하고 일주일돼서 물건이 왔네요. 배송이 지연되면 대부분 문자나 전화를 주시던데.. 전혀 없었고..배송정보도 안뜨고… 기다리는 고객에 대한 배려가 없어서 그 부분은 많이 아쉽습니다..,1,22.08.26.,
"물건은 이상없는데 판매자가 인간쓰레기 입니다 사이트에서  이런사람 물건 게시하지 못하게 해야됩니다. 판매자  물건신청하는 순간부터 연락두절, 최소요청거부 자기마음대로 물건발송/ 소비자분들 여기 판매점에서 물건구입하기전 리뷰를 꼭읽어보시고 구입바랍니다",1,22.07.17.,
판매자가 영 양심이 없는것 같네요. 이런 판매자는 네이버에서 퇴출해야 된다고 생각이 드네요. 아주 괴씸한 인간이네. 상품이 없다고 대체 상품 보낸다고 문자 보내지 마라. 네이버에 신고한다. 대체상품을 시중가 보다 3000원이나 싼제품을 보냈네. 부자 되세요.~~,1,23.02.25.,옵션: 힘없는 샴푸 400ml
"상품의 품질은 문제없읍니다.그러나 판매자의 판매행위, 태도는 0점입니다.배송시 소비자를 골탕먹이려고 배송대기 상태로 지연하다가  일주일이 지나 구입취소하려하니 배송하여 10일여만에 받았습니다.다시는 이점포 거래 안합니다.",1,23.03.27.,선택: 힘없는 모발용 샴푸 400ml
포장을 정말 형편없이 하네요샴푸 1개 깨져서 왔어요 하..,1,23.03.06.,
"정품이랑 색깔도 다르고 증정용이라고 붙어있네요. 개봉한 흔적도 있고, 반품하려는데 전화도 아예 안받고 뭐하자는 건지 모르겠네요. 물건도 아예 내리셨네요...",1,23.05.17.,옵션: 힘없는 샴푸 400ml
샴푸 두개 입구부분이 깨져서 왔어요 제품은 만족해여,1,21.04.23.,
사진에는 닥터그루트 어드벤스드 올려놓고 배송은 구형으로 왔네요. 반품귀찮아서 그냥 쓸렵니다.,1,22.10.22.,
샴푸통이 찌그러져서 왔네요.세진않아서 그냥씁니다.,1,23.06.24.,옵션: 힘없는샴푸 400ml
뚜껑 부서져서 다쏟기고 ㅡㅡ제대로 포장좀 하세요,1,23.02.03.,옵션: 힘없는 샴푸 200ml x 2(400ml)
이거 쓰고나서 머리가 너무 가려워요,1,21.12.16.,
다음에 꼭 다시 구매하고 싶어요,1,22.12.17.,옵션: 손상모발샴푸+제이몬스터즈 75ml 2종
배송비 안내 부족으로 과청구,1,21.05.06.,
자극적입니다. 눈에 들어가지 않아도 샴푸 후 헹굴때 눈이 시큰합니다.,1,20.09.21.,
상품평은 나중이고 판매자 판매인성이 아니예요..,1,22.07.13.,
배송비 폭탄 뭔가요 당연히 묶음 배송인줄 샴프가 좋던 말던 배송비 관리 이런식이면 곤란합니다,1,22.07.11.,
개봉하자마자 샴푸가 세서 묻어있네요 뚜껑이 잘 안 닫겨 있어서 그런거 같은데 신경 잘 써주세요,1,22.03.03.,선택: 힘없는 모발용 샴푸 400ml
"여기 사기예요 물건,못 받음.전화도안됨. 답도 없음.만원,먹고 떨어져라 거지 xx야.",1,22.08.26.,
