content,score,date,option,satis_list
한달사용기자극적이지는 않지만 스피아민트 오일이 들어가서인지 두피에 닿으면 화~한 느낌이 들어서 자극적이라고 느낄 수도 있을 것 같아요. 개인적으로 머리 감을 때 풍기는 민트 향이 정말 좋아서 기분이 좋더라고요. 거품도 잘 나서 잘 사용하고 있어요.,5,23.09.03.,,"['두피자극_보통이에요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
배송누락되어 본사확신다고 하시고 다시 주문번호 올려달라고 하시니 대응절차가 문제있어보입니다. 사진정보를 문의에 올릴 수 없어서 후기에 올립니다. 빠른 처리 부탁드립니다.,1,23.08.31.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
여름에 사용하기 좋았어요!! 쿨링감도 있고 향도 나쁘지 않은곳 같아요!! 가을겨울에도 괜찮은지는 더 써볼게요^^ 재구매의사있어요!,5,23.08.31.,,"['두피자극_보통이에요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
사용한지 얼마 안돼서 계속써볼라구요 민트향이 매력적입니다,3,23.09.05.,,"['두피자극_보통이에요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
재구매이거 쓴뒤로 다른거 못써요.. 너무 시원합니다ㅋㅋㅋ,5,23.09.06.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
가려움이 심해서 쓰던 샴푸가 있는데 성분이 너무 안좋아서 바꿔봤어요 향도 맘에들고 두피 가려움이랑 트러블도 잘 잡혀서 이 제품으로 정착하려구요💗  머리카락은 엄청 건조해져서 트리트먼트나 린스는 필수일 것 같아요,5,23.08.18.,,"['헤어_복합성가는 모발손상모가려움', '두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
일단 빠른배송으로 받아서 너무 좋네요! 쓰던 샴푸가 다 떨어져가서 이번에 행사에 시켜본건데 맘에들어요~~ 탈모에 효과가 있었으면 하네요^^,5,23.08.22.,,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
배송 빠르게 왔어용 아직 안써봐서 효과는 모르겠지만 효과가 있으면 좋겠네요,5,23.09.06.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
한달사용기시원하고 좋은데 뾰루지 많이나고 따갑네요,1,23.09.07.,,"['세정력_다소 아쉬워요', '두피자극_따끔거려요', '탈모케어_별로예요']"
탈모 방지 효과는 아직 모르겠지만 사용감은 괜찮아요.,5,23.09.07.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
한달사용기환절기엔 원래 두피가 잘 뒤집어지는데 이건 그나마 덜 뒤집어져료ㅠㅠ 다행중 다행...,5,23.08.27.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
이제 쓰기 시작했는데 머리가 좀 덜 빠졌으면 좋겠어요!,5,23.09.06.,,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
좋은상품 빠른배송 감사합니다,5,23.09.06.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
성분좋고 좋을꺼라 생각하고 예방차 쓰고있어요 거품 잘 나고 좋아요,4,23.08.23.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
머리에 자극이 없고 청량감이좋아요,5,23.09.06.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
아직 사용 전이라 사용후기는 아니지만 다른 후기 신뢰해서 잘 사용해보겠습니다.   사이즈가 대용량 느낌은 아니라 아담한데 퀄리티로 승부를 볼거라 믿습니다,5,23.08.23.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기좋아요 사용하고나면 두피가 시원합니다,5,23.08.29.,,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
한달사용기머리결은 살짝 더 부드러워진 느낌. 두피는 가렵지 않고 수분을 품고 있는 느낌. 만족합니다~,5,23.08.28.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
배송빠르네요 써보고 또 남기겠습니다.,5,23.09.03.,,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
거품도 잘나고 좋아요~근데 머리가 덜 빠지는지는…?,5,23.08.23.,,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
