content,score,date,option,satis_list
려 처음나왔을때부터 썼어요! 십년도 더 넘은거같네요 요즘엔 더 좋은샴푸들도 많이 나오는데 려뿐이라 ㅎㅎ가격이 많이올라서 행사할때마다 구매합니다!,5,23.09.04.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
제가 머리 숱이 얇고 많이 없어서 찾아보다가 구매해봤어요 한 3일 정도 사용해봤는데 다른 샴푸보다 아무래도 기능이 들어있기 때문에 부드럽지는 않아요 근데 거품도 잘나고 시원합니다! 효과는 좀 더 기간을 두고 봐야할 거 같아요,5,23.08.25.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
샴푸후 기름지고 떡지고 비듬에 머리냄새 때문에 샴푸선택에 고민이 많았는데 나에 타입에 딱맞네요 샴푸후 깨끗하네요 냄새도 한방향에 매우 만족 합니다.,5,23.08.24.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
탈모샴푸 좋대서 좀 비싸도 자양윤모로 삿는데 효과 잇길 빌어봅니다,4,23.09.06.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_보통이에요']
한달사용기항상 '려' 제품만 씁니다. 더군다나 '탈모 전용' 라인이니까 더 믿고 씁니다.,5,23.09.04.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
샴푸 좋아요. 향은 은은한 한방 향 나고 지성피부인데 세정이 잘되요.,5,23.08.28.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
항상 려제품만 써요 세정력도 좋고 만족합니당,5,23.08.30.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_보통이에요']
10년 넘게 사용환 제품입니다 꾸준히 사용하다보니 다른친구보다 머리숱이 많은것 같아요 40중반에 머리카락이 많이 빠져 려샴푸를 사용했는데 지금은 현상유지를 하는것 같아요 발모는 모르겠고 빠지는 머리카락은 확실이 줄었어요 샴푸를 대충하지마시고 샴푸액을 조금만 사용해서 오래 두피마사지를 하시면 큰효과를 보실수 있을겁니다,5,23.08.28.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
탈모 남편땜에 구입 소문이 좋아서 구매,5,23.09.06.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
머리숱적은 신랑이 항상쓰는제품이에요 깨끗하고 향도좋아서 잘쓰고있어요,5,23.08.26.,옵션: 05 힘없는 모발용 샴푸 400ML X2,['세정력_보통이에요']
좋은 가격에 좋은 제품을 구입했습니다. 감사드립니다.,5,23.08.30.,옵션: 02 중건성 두피용 샴푸 400ML X2,"['헤어_복합성탈모', '세정력_아주 만족해요']"
재구매항상 쓰는 제품이에요 좋아요,5,23.09.02.,옵션: 03 민감성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
늘 쓰던거라 재구매,5,23.09.06.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
재구매힘없는모발 쓰다가 다써서 재구매 할려고하니 품절이여서 지성두피용으로 써볼려고합니다,5,23.08.28.,옵션: 01 지성 두피용 샴푸 400ML X2,['세정력_아주 만족해요']
유투브 보다가 두피 세정에 좋다고 해서 구매했는데 정말 좋아요! 근데 머릿결은 좀 뻣뻣해져서 트리트먼트 필수입니다,5,23.09.06.,옵션: 01 지성 두피용 샴푸 400ML X2,"['헤어_지성피지 과다지루성 두피', '세정력_아주 만족해요']"
여러가지 샴푸써보고 여기로 넘어왔네요. 머리감아도 조금 지나면 가렵고 감고나서도 따가움이 있을정도였는데 려 자양윤모는 두번 사용했는데 가려움도 덜하고 따가움 없습니다.,5,23.09.03.,옵션: 03 민감성 두피용 샴푸 400ML X2,"['헤어_가려움민감성 두피', '세정력_아주 만족해요']"
