content,score,date,option,satis_list
아빠 필요하시다고 주문했어요 아직 좋은지는 모르겠고 성분 믿고 꾸준히 사용해 보시라고 하려구요,4,23.07.29.,,"['헤어_건성가려움비듬', '세정력_보통이에요', '머릿결개선_잘 모르겠어요', '거품_적당해요']"
향은 솔향?이고 시원합니다. 효과는 더 써봐야 알 것 같네요.,5,23.07.23.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
"성분 착한 샴푸 찾기가 어찌나 어렵던지 힘들게 찾아서 썼는데 만족스러워서 계속 쓰는 중이에요.  보통 두피용샴푸가 모발에는 좋은 영향을 못줘서 적당한 제품 찾기가 너무 어려웠는데, 이건 두피세정도 잘 되면서 모발도 많이 건조하진 않은것 같아서 맘에 듭니다. 물론 헤어팩 헤어오일은 필수인데, 샴푸 헹굴때 모발이 뻑뻑하지 않은점이 좋습니다. 거품 잘 나고 향도 괜찮아요.",5,23.06.29.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
아주좋아요 배송이 빨라요,5,23.07.15.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
무난하게좋르아아어커텅,5,23.06.14.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
매번 사서 쓰고있어요~ 벌써 사용한지 4년 정도 됐네요~,4,23.04.20.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
만족합니다 많이파세요,5,23.04.13.,,"['세정력_보통이에요', '머릿결개선_아주 좋아요', '거품_적당해요']"
한달사용기머리 감을때마다 머리카락이 정말 많이 빠져서 고민하다가 주문해서 지금까지 쓰고있는중이에요 반통정도 남은거같은데 효과 있습니다 확실하게 덜빠지구요 신기하네요 걱정거리가 하나 줄어서 아주 만족합니다^^ 감사합니다 번창하세요~^^,5,23.03.23.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
저번에 구매해서 쓰고 만족해서 재주문했습니다: 다른 샴푸로 못갈아탈거 같아요!,5,23.03.23.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
거품이 엄청잘나고사용감이부드러워요,5,23.04.06.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
상쾌하고 향도 시원한 향이에요,5,23.03.21.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
한달사용기이것저것 다 써보다가 계속 사는건 이 제품입니다. 비듬이 조금 증가하였지만 전반적으로 좋습니다.,5,23.03.15.,,"['머릿결개선_아주 좋아요', '거품_적당해요', '세정력_아주 만족해요']"
배송도 빠르고 좋아요,5,23.03.18.,,"['머릿결개선_아주 좋아요', '거품_적당해요', '세정력_아주 만족해요']"
한달사용기피톤치드의 향의 좋아서 재구매해 사용하고 있어요,5,23.02.19.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
조아요조아요촤그예요,5,23.04.01.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
한달사용기샘플받아서 사용하다가 거품도 잘나고 세정력좋아서 내돈내산했어요. 자극도 없고 시원합니다.,5,23.02.16.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
아직 써보진 않았지만 평만큼 좋길바래요,4,23.02.15.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
세정력뿐만 아니라 향기도 딱 좋아하는 향이라 계속 쓰고 있는 제품이에요!,5,23.02.22.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
항상 잘쓰고 있어요  ㅎㅎ,5,23.02.08.,,"['머릿결개선_만족해요', '거품_적당해요', '세정력_아주 만족해요']"
잘받았습니다 감사합니다,5,23.01.18.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
아빠 필요하시다고 주문했어요 아직 좋은지는 모르겠고 성분 믿고 꾸준히 사용해 보시라고 하려구요,4,23.07.29.,,"['헤어_건성가려움비듬', '세정력_보통이에요', '머릿결개선_잘 모르겠어요', '거품_적당해요']"
향은 솔향?이고 시원합니다. 효과는 더 써봐야 알 것 같네요.,5,23.07.23.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
"성분 착한 샴푸 찾기가 어찌나 어렵던지 힘들게 찾아서 썼는데 만족스러워서 계속 쓰는 중이에요.  보통 두피용샴푸가 모발에는 좋은 영향을 못줘서 적당한 제품 찾기가 너무 어려웠는데, 이건 두피세정도 잘 되면서 모발도 많이 건조하진 않은것 같아서 맘에 듭니다. 물론 헤어팩 헤어오일은 필수인데, 샴푸 헹굴때 모발이 뻑뻑하지 않은점이 좋습니다. 거품 잘 나고 향도 괜찮아요.",5,23.06.29.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
아주좋아요 배송이 빨라요,5,23.07.15.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
무난하게좋르아아어커텅,5,23.06.14.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
매번 사서 쓰고있어요~ 벌써 사용한지 4년 정도 됐네요~,4,23.04.20.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
만족합니다 많이파세요,5,23.04.13.,,"['세정력_보통이에요', '머릿결개선_아주 좋아요', '거품_적당해요']"
한달사용기머리 감을때마다 머리카락이 정말 많이 빠져서 고민하다가 주문해서 지금까지 쓰고있는중이에요 반통정도 남은거같은데 효과 있습니다 확실하게 덜빠지구요 신기하네요 걱정거리가 하나 줄어서 아주 만족합니다^^ 감사합니다 번창하세요~^^,5,23.03.23.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
저번에 구매해서 쓰고 만족해서 재주문했습니다: 다른 샴푸로 못갈아탈거 같아요!,5,23.03.23.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
거품이 엄청잘나고사용감이부드러워요,5,23.04.06.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
상쾌하고 향도 시원한 향이에요,5,23.03.21.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
한달사용기이것저것 다 써보다가 계속 사는건 이 제품입니다. 비듬이 조금 증가하였지만 전반적으로 좋습니다.,5,23.03.15.,,"['머릿결개선_아주 좋아요', '거품_적당해요', '세정력_아주 만족해요']"
배송도 빠르고 좋아요,5,23.03.18.,,"['머릿결개선_아주 좋아요', '거품_적당해요', '세정력_아주 만족해요']"
한달사용기피톤치드의 향의 좋아서 재구매해 사용하고 있어요,5,23.02.19.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
조아요조아요촤그예요,5,23.04.01.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
한달사용기샘플받아서 사용하다가 거품도 잘나고 세정력좋아서 내돈내산했어요. 자극도 없고 시원합니다.,5,23.02.16.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
아직 써보진 않았지만 평만큼 좋길바래요,4,23.02.15.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
세정력뿐만 아니라 향기도 딱 좋아하는 향이라 계속 쓰고 있는 제품이에요!,5,23.02.22.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
항상 잘쓰고 있어요  ㅎㅎ,5,23.02.08.,,"['머릿결개선_만족해요', '거품_적당해요', '세정력_아주 만족해요']"
잘받았습니다 감사합니다,5,23.01.18.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
처음  주문했는데 향도 좋아요,5,22.07.20.,,"['머릿결개선_만족해요', '거품_적당해요', '세정력_아주 만족해요']"
재구매두통째 구매해서 쓰고있어용,5,22.07.21.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_풍부해요']"
항상 사용하고 있는 제품입니다. 거품 많고 두피가 시원하고 확실히 덜 빠집니다.,5,22.07.23.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
재구매믿고쓰는 제품입니다.,5,22.07.21.,,"['머릿결개선_만족해요', '거품_풍부해요', '세정력_아주 만족해요']"
재구매했어요 만족하며 사용하고 있어요,5,22.07.02.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
배송빠르고 제품도 좋아요,5,22.07.27.,,"['세정력_보통이에요', '머릿결개선_만족해요', '거품_적당해요']"
한달사용기아주아주 좋습니다아아,5,22.08.12.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
리뷰보고구매 감사합니다,5,22.07.20.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
늘 쓰던거라 ㅎ 믿고 재구매 햇읍니다 ㅎ,5,22.06.15.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
"한달사용기자주 쓰던 제품이라 너무 좋아요~ 중요한 건 탈모 증세가 많이 없어지네요. 일 때문에 스트레스 많은데, 좋은 제품 감사해요.",5,22.05.28.,,"['머릿결개선_아주 좋아요', '거품_적당해요', '세정력_아주 만족해요']"
머리결도 좋아지는 거 같고 거품이 풍부해 좋습니다,5,22.05.28.,,"['세정력_보통이에요', '머릿결개선_아주 좋아요', '거품_풍부해요']"
좋은 제품 감사합니다.,5,22.06.02.,,"['머릿결개선_아주 좋아요', '거품_풍부해요', '세정력_아주 만족해요']"
