content,score,date,option,satis_list
한달사용기재구매두피가 가려워서 사용하게 된 제품인데 성분도 좋고 두피 가려움증도 많이 완화되어서 요즘은 사춘기 아이도 함께 사용하고 있어요. 진짜 좋아서 이 상품만 꾸준히 사용하고 있어요.,5,23.09.08.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
원래 쓰던거에요 머리 덜빠지고 좋아요 뽁뽁이에 압축비닐로 안새게 포장되서 왔어요,5,23.09.08.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기재구매꾸준히 사용하고있는 제품이에요~ 세정력도 좋고 순하고 은은한 향도 좋아요~떨어질때 쯤 되면 쟁여 놓아야 하는 단골 고객이에요,5,23.09.02.,,"['헤어_건성손상모윤기 부족새치', '두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
아직 사용전이지만 로션 사용후 제품 믿음이가 샴푸도 주문하였습니다.잘 사용하겠습니다,5,23.09.07.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
감사드립니다 열심히사용해볼게요 잘도착했습니다 많이파셔요 머리에좋을것같아요 효과도좋을것같아요,5,23.09.01.,,"['헤어_복합성손상모탈모', '두피자극_보통이에요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기몇통째 사는지 모르겠어요ㅋㅋ 가성비 좋은데 샴푸질도 좋습니다.. 샴푸는 이걸로 정착,5,23.09.03.,,"['헤어_지성손상모피지 과다윤기 부족', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기머리가 많이 길어서 다른 샴푸는 3번이상 펌핑해도 전체적으로 거품내기 쉽지않았는데 이건 작게 두번정도만 펌핑해서 사용해도 거품이 풍성해 더 자극없이 머리를 감을수 있는것같아요. 향도 자극적이지않고 좋아요1,5,23.09.07.,,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
재구매만족해서  온가족이 계속사용주인 샴프와 트리트먼트 입니다,5,23.09.05.,,"['헤어_지성볼륨 부족가는 모발민감성 두피', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
안전하게 뻘리 배송되었네요~~ 순해서 초등저학년을 포함하여 온가족이 사용할 수 있어서 좋아요~~ 탈모에 대한 건 꾸준히 사용해봐야 알듯합니다^^,5,23.08.18.,,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
재구매머리카락이 많이 빠져 맥주효모 샴푸로 바꿔 사용해 보니 확실히 덜 빠집니다 두피에도 저작이라 좋구요 두피타입은 중성 이라 아주 만족하며 요번에 또 주문하여 사용하고 있읍니다 ~ ^^ 😄😄😄,5,23.08.18.,,"['헤어_탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
