content,score,date,option,satis_list
BEST지인에게 소개받아 1년 반정도? 너무너무 잘 쓰고 있어요 아직 샴푸가 좀 남아 있는데 어제 라방 가격이 너무 좋아서 구매했고 채팅에서 임신출산수유 중인데도 오히려 머리가 더 났다고 간증(?) 했던 사람이에요 ㅋㅋ 사진은 순서대로 약 2년전 가르마가 휑 했던 사진이고요 이해 여름에 친한 동생이 소개해줘서 처음 쓰기 시작했던 것 같아요 두번째 사진은 작년에 임신초기에 찍은 사진인데 뭔가 머리가 덜 빠진다는 생각을 하기 시작할 무렵이에요. 그런데 임신중엔 원래 호르몬땜에 머리가 안 빠지는 시기라는 말도 있어서 그냥 그런갑다 하고 있다가 출산하고도 전혀 머리카락 안 빠졌고 지금 아가 100일 넘게 모유만 먹이고 있는데 문득 보니까 머리가 빠지기는 커녕 마지막 사진 처럼 약 12-15센치 정도 길이의 머리카락들이 엄청 부숭부숭 나와 있어서 (사진상 티가 잘 안나서 노란색 선으로 표시를 좀 해봤는데 이해가 되실런지..)아니 이게 내가 이 길이로 머리를 자르거나 숱을 친적이 없는데 이게 뭔가 하고 생각 해보니 딱 샴푸 쓰기 시작한 시점부터 서서히 머리카락들이 더 났고 자랐다 치면 딱 저 길이겠구나 하는 생각이 들더라구요.  바뀐건 샴푸밖에 없으니까요.  예전에 비싼 두피 에스테틱 관리를 받아도 이런 다이나믹한 효과는 본 적이 없는데 개인적으론 정말 신기하더라구요.  제샴푸법은 일단 한번 짜서 초벌샴푸를 하는데 한번 짜서 온 두피에 살살 문지르며 도포를 하고 약 3분 정도 양치나 다른 바디케어를 하며 두피를 불립니다. 저는 멘톨느낌이 넘 시원해서 이 시간이 너무 좋은데 멘톨이 처음인 분들은 좀 힘들 수 있어요. 눈에 안 들어가도록 조심해서 바르고 집게핀으로 긴머리를 고정해줘도 좋구요 그리고 행군 후에 한번 더 짜서 본 샴푸를 시원하게 해주고 있어요.  주로 저는 밤샤워만 하고 있어서 밤에 이방법으로 감고 자면 뒷날 저녁까지는 여름날에도 시원한 편이에요  그냥 후루룩 감고 행구지 말고 샴푸 도포후 불리는 시간을 꼭 가져보세요!  이미 주변에 소개도 많이 하고 알려주고 있지만 부디 번창하셔서 앞으로도 제가 평생 이 샴푸 쓸 수 있으면 좋겠다 그 마음으로 아기 재우고 짬내서 이렇게 후기를 길기 올립니다 좋은 샴푸 만들어주셔서 감사해요..!,5,23.07.19.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_민감성 두피탈모새치', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기제가 탈모에 가늘고 긴 모발이라 머리 감고 나서 말리면 방바닥에 머리카락이 한가득이거든요 나이가 들면서 탈모두 더 심해졌구요 요즘엔 두피 가려움증두 생겼구여ㅠ 걱정이 많았는데 요 트리플 샴푸 쓰면서 정말 좋아졌어여 머리카락도 확실히 안빠지고  가려움증도 없어지고여 두피 안가려운 분들인 아마 공감 못하실정도로 진짜 미칠정도였거든여.. 지금은 두피가 아주 깨끗해진듯해여 자극도 하나 없구 모발두 건강해진듯하구여 ^^샴푸향은 무향에 가까운 아주 약한 박하향이구여 감고나면 아주 깔끔  시원~~정말이지 머리감을때마다 내  소중한 머리카락이 바닥에 쌓이는걸 보지 않아서 너무 좋더라구요~울 신랑두 이번에 샴푸 잘 골랐다구 하네요  앞으로 요 트리플 샴푸로 평생 정착합니다 다시한번 강추합니다!!!!,5,23.09.03.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_복합성탈모가는 모발가려움', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
"2번째 구매입니다 . 같은 샴푸를 오랫동안 사용하면 내성이 생긴다는 말을 듣고 사용했었던 10만원대의 아베다 샴푸를 다시 구매하여 사용하다가 4개월 지났는데 다시 트리플에스로 재구매 하였습니다.. 제 두피가 엄청 예민하고 지루성두피염으로 인해서 탈모가 있어서 아무샴푸나 못쓰는데 역시 샴푸는 값이 나간다고해서 다가 아니란걸 다시 한번 느끼네요. 두피가 엉망이 되어서 재구매했습니다. 사진에 보이는 것처럼 두피에 좋다는 샴푸들 전시해놓고 사용합니다.. 앞으로 내성이고 뭐고 그냥 트리플에쓰에 말뚝 박으려합니다ㅎ 대용량이라 1년 가량 사용했었는데 변함없는 가격에 놀랐고, 동봉되어있는 문구가 적힌 종이에 원재료 자체 원가가 높아서 대형마트에서 판매 못하신다는 문구를 봤습니다. 사실 저에게는 10만원대 이상의 가치를 하는 샴푸이기에 가격이 4만원이든 5만원이든 올라가도 충분히 구매할 만한 가치가 있는 샴푸라고 자부합니다. 머리털은 되돌릴 수 없기때문입니다. 이전에 사용했을때 1주일만에 두피상태가 엄청 좋아졌었는데 기대가 됩니다. 기분 좋게 산뜻하게 머리감고  잠들겠습니다.  판매해주셔서 감사합니다!! 진짜요",5,23.08.26.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_지성탈모민감성 두피가려움', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
"역시나~샴푸 구매하면서 같이 트리트먼트 구매했어요~! 솔직히 이번에 트리트먼트는 좀 고민이됐어요~제가 긴 생머리에 염색모인데 SSS 트리트먼트는 샴푸와달리 지난번 구매때가 첫구매였거든요? 막~미친듯이 찰랑이거나 매끄럽거나 하진 않아서...펌핑은 3번반?? 샹푸보다는 많이 하구요~ 바르고 좀 방치하려고도 하는편인데 요즘엔 더워서 후딱바르고 빠르게 헹구는 편이긴해요~그래도...주문!! 이유는요. 같이 쓰니깐 탈모나 시원함이 더 좋은거 같아서예요!!  샴푸만쓰고 타사 트리트먼트를 하면 머리안쪽이 좀 답답한 느낌이고 막 미끌거리는 듯한?? 그리고 탈모라기보다 머리빠짐인데 머리빠짐은 계절마다 다른것을 감안한다고해도 저는 확실히 두개를 같이 써주면서 덜빠지는 느낌이 들어요!! 오늘 올린 영상은 트리트먼트하고 2,3분내외??에 빠르게 헹구면서 손가락으로 내리는 모습이예요~! 타사 린스처럼 막 부드럽진 않지만 제 머리가 염색모에 장모~인걸 감안하면 꽤 잘 내려가는 편이예요~그래서 저는 이왕쓰는거 같이 쓰길 권해요~오빠는 샴푸만 쓰니깐 거의 비슷한 시기에 떨어져서 같이 주문했어요~저는 샴푸 2.5펌프 / 린스 3.5펌프 오빠가 샴푸 1펌프라 비스하게 떨어지는거 같아요~대용량이라 더더 좋아요!!",5,23.07.27.,필수선택: 실크 트리트먼트1350ml+5ml 10개,"['헤어_복합성탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기제 모발 상태는 건성이라 이틀에 한번씩 머리를 감고요 갱**로인해 탈모가 심해지고 있었어요. 이 제품은 두번째로 구매해보는 탈모샴푸예요. 타사제품 쓰다가 효과가 없어서 알아보던차에 후기보고 구매를 했어요. 사용한지 3주정도 되어갈때 머리카락이 확실히 덜 빠지더라구요. 아예 안빠질순 없어요. 그래도 눈에 띄게 차이가 나니까 어차피 빠지는 머리카락이지만 그래도 좀 더디게 빠지지 않을까란 생각이 드네요 ㅎㅎ 휑한 부분은 이제 한달 썼기때문에 효과는 아직 없지만 덜 빠진다는 사실에 마음이 좀 놓이는지라 꾸준히 써볼생각이예요.,5,23.08.31.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
BEST계속 SSS!! 샴푸 한번씩 바꿔줘야 좋다는데 저는 벌써 1년 넘게 못바꾸고 이번이 3번째 구매해요. 저는 긴 염색모 생머리이고 저희 오빤 짧은 투블럭이예요. 대용량으로 구매하니 딱 5~6개월은 쓰는거 같아요~가슴 넘는 긴머리임에도 전 딱 2번반!  펌프~ 영상처럼 머리 몇번만 만져주면 거품이 순식간에 풍성해져서 너무 좋아요~버블~버블~거기다 박하..적응된거 같으면서도 매번 너무 시원해요~ㅜㅜ 이 더운 여름에 더욱 찰떡이예요!! 이번에도 라방 챙겨보고 주문했어요~가방이랑 두피마사지 빚까지 긴머리에는 무리고 짧은 오빠쓰라고 줬어요~ㅋ,5,23.07.27.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_복합성탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
신랑이 지인꺼 써 보고 좋다고 구매했었는데 이번에 라방으로 좋은가격에 구매해봤어요. 샴푸가 좋으면 가격이 비쌀텐데 가격도 착해 샴푸만 구매하려다 두피 앰플까지 같이 구매했어요. 용량도 많은데 조금만 써도 거품이 풍부하게 나와서 버리깜기가 좋고 머리가 안고나면 시원한 쿨링감으로 기분이 더 좋아지더라구요. 그리고 머리 말렸을 때 너무 뻑뻑하지도 않고 볼륨감이 살아있어서 사용하기 좋아. 좋아요 다음에도 구매할게요. 보내주신 사은품도 잘 쓸게요.,5,23.08.23.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
꾸준히 쓰고 있는 제품입니다 할인쿠폰으로 더 싸게 구입해서 너무 좋아요 다만 장바구니 전체 할인이 아니라 한 제품군만 할인이 되서 아쉬워요 다른것들도 사려고 이것저것 담았다가 내려놓았네요 다음에 구매해볼게요 제품은 확실히 좋아서 다른제품들도 구매해보고 싶어요,5,23.09.07.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
트리플에스 삼푸구매하니  일회용 샘플을열개나주네요.ㅎ 탈모로 고민하던중 지인이 추천해줘서 써 보았는데 저는 아직 잘 모르겠는데 지인은 머리카락이 몇올만 빠지고 안빠지더라구요.저도 가는머리에 탈모가 심해서 조금더 써보면 알겠죠. 트리플엑스 삼푸쓰고 탈모에서 벗어나고 싶어요.,5,23.09.07.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_복합성가는 모발윤기 부족탈모', '두피자극_보통이에요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
한달사용기지금껏 사용한 탈모샴푸중에 제일 좋네요 머리가 허리까지 오는데 거품도잘나고 안뻣뻣하고 두피 뾰루지 난적도없어요 다음날되도 두피냄새도 안나고 기름안껴용 가성비도좋고 최고최고!,5,23.09.07.,필수선택: 약산성 탈모샴푸1350ml+5ml 10개,"['헤어_건성손상모볼륨 부족윤기 부족', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
