content,score,date,option,satis_list
"순하게괜찮은거같이요 꾸준히 써보고 좋으면계속 써볼생각입니다 제발머리좀 덜빠졌음하네요 평생한번은 누구나휴지기를 거치는지,,식약청에서인증받았다니 믿고써보겠습니다",5,23.09.02.,조합상품: 5. 탈모샴푸1개+트리트먼트1개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
거품잘나고 두피사 시원해져서 좋아요,5,23.09.09.,조합상품: 3. 탈모샴푸 500ml X 2개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
머리카락이 너무 많이 빠져 구매해봤어요 오늘 첨 써봤는데 거품은 풍부했고 세정력은 좋은듯해요 두피가 따갑거나 가렵지 않았어요 일단 만족하고 머리카락빠짐정도는 좀 더 사용해봐야겠어요~,4,23.08.18.,조합상품: 1. 탈모샴푸 500ml X 1개,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
"3개왔는게 그중 1개만 찍었어요. 우선 아직 사용해보지는 못해서, 사용해보고 한달 후 후기 자세히 적을게요. 맥주효모 샴푸로 기대해봅니다",5,23.08.28.,조합상품: 6. 여행용샴푸(100ml) X 3개,"['세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
먼저 빠른 배송에 만족합니다^^ 받자마자 퇴근후 사용해 봤는데 향도 은은하고 조금만 사용해도 거품이 풍부해서 두피 구석구석 노폐물을 제거해 주는 것 같아요. 그리고 사용후에 별도의 린스사용 없이도 머릿결이 부드러워서 좋아요~!!,5,23.07.11.,조합상품: 1. 탈모샴푸 500ml X 1개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
물건잘받았습니다 아직 사용전이라 후기는 나중에할께여,5,23.09.08.,조합상품: 1. 탈모샴푸 500ml X 1개,"['헤어_지성탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
거품도 부드럽고 헹굼시 뻑뻑함이 덜하네요 탈모 방지는 좀더 써봐야 알거 같고 대체로 순한 샴푸 인거 같아요 괜찮네요,4,23.08.20.,조합상품: 3. 탈모샴푸 500ml X 2개,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
한달사용기재구매정말 좋아요 몇년째쓰고있어요,5,23.09.05.,조합상품: 7. 탈모샴푸 1개+여행용샴푸 3개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
재구매계속 쓰고 있습니다만 탈모  예방은 잘되는지 모르겠네요~~~ 어째든 거품은 잘 납니다,4,23.08.27.,조합상품: 3. 탈모샴푸 500ml X 2개,"['세정력_보통이에요', '두피자극_순해요', '탈모케어_잘 모르겠어요']"
한달사용기믿고 쓰는 샴푸입니다 힘없이 쳐지는 모발.가는 모발에 적극 추천합니다 머리 감고나면 확실히 모발에 힘이 생기고 탈모수도 현저히 줄어드는게 보여요.좀 비싸긴 하지만 효과가 있으니 만족합니다,5,23.08.08.,조합상품: 3. 탈모샴푸 500ml X 2개,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
