content,score,date,brand,가격,세정력/거품,향기,트러블/진정,배송/서비스/고객대응,탈모 효과 및 쿨링감,머릿결*
시원하고 좋은데 뾰루지 많이나고 따갑네요,1,23.09.07.,라보에이치,,,,0.0,,,
저랑은 안맞네요 계속 쓰다보니 두피 너무 가렵고 비듬각질이 생기네요,1,23.02.18.,라보에이치,,,,0.0,,,
효과는없고 계속많이빠져요,1,22.07.27.,라보에이치,,,,,,0.0,
"제품이 어떤지는 잘 모르겠고요, 아모레퍼시픽이 소비자 생각 안 하는 회사인 건 확실하게 알 것 같습니다. 위에 나와있는 예상배송기간? 신뢰하지 마세요. 몇 달 동안 파업지역이었던 곳인데 파업 종료 후 정상화 되지도 않은 cj택배에 넘겨서 판매만 하고 배송 나몰라라합니다.  주문할 때 파업지역이라고 배송메세지까지 남겼는데 마침 그날 파업종료 되었다고 그냥 막 cj택배로 넘겼더라구요. 몇 달간 이어진 파업인데 파업 풀었다고 바로 정상화 되는 게 아니잖아요. 택배사가 정상화될 때까지 파업지역이었던 곳은 자체적으로 조사해서 다른 택배사로 발송해주셔야 하는 거 아닌가요? 대기업이라서 그런 것도 아닌 것 같아요. 다른 대기업에서 온라인주문했을 때 원래 cj 이용한다던데 로젠택배로 몇 일만에 바로 온 거 경험했고, 대기업이 아닌 작은 쇼핑몰도 정상화 되기 전이라고 조정해서 다른 택배사 통해 몇 일내로 보내줬습니다. 아모레퍼시픽 브랜드가 워낙 많아 소비자는 쓸 수 밖에 없으니 자기들은 판매만 하고 배송과정은 나몰라라 하는 마인드 정말 볼만하네요. 3/3에 주문해서 발송처리된 택배가 3/28에서야 도착했습니다. 샴푸 단 한 통이요. 배송 안와서 결국 다른 샴푸 사서 쓰고있습니다. 한 달이 다 되어가도록 받질 못하고 그렇다고 자기들 편한대로 택배사에 막 넣어서 주문 취소도, 배송지 변경도 안됐습니다.  또 배송시작에서 배송중으로 넘어가고 배송완료되지도 않았는데 구매확정하라는 단계로 넘겼습니다. 실제로 받은 건 그 다음 날이었는데요. 어쩔 수 없이 구매확정 연장 누르고 기다려야 했습니다. 고객센터 전화연결, 네이버문의 제때 안 되고 진짜 짜증나고 화납니다. 판매만 하고 배송 신경 안 쓰는 회사인 듯하니 어쩔 수 없이 써야되거든 엄청 여유있게 미리미리 주문하세요^^",1,22.04.05.,라보에이치,,,,,0.0,,
ㅋㅋ최악이에요 진짜.. 3월1일에 주문했는데 3월 30일인 오늘 도착했네요 그냥 취소하려고 했는데 3월 1일부터 배송 집하처리 걸어두고 고객이 취소도 못하게 해놓고 중간에 취소해달라고 문의 2번 남겼는데 문의는 보지도 않고 다음에는 여기서 주문 안할래요,1,22.03.30.,라보에이치,,,,,0.0,,
세정력이 아예없어요 한번 감고 두피모공  다 막히는줄,1,22.03.29.,라보에이치,,0.0,,0.0,,,
배송개늦음 일욜 시켜서 토욜 받음,1,22.03.18.,라보에이치,,,,,0.0,,
처음한달은 너무 만족했는데 점점 건조해지더니 뾰루지랑 비듬 대폭발함 너무건조해서 따가울지경 제 두피엔 안맞나봄 쟁여둔다고 산건 다 나눔해야겟음...ㅜㅜ,1,22.01.02.,라보에이치,,,,0.0,,,
처음왔을때 퍼프가 부러진채로 와서 연락달라고 했었는데 ㅠㅠ 확인을 못하신건지 아직도 연락이 없어요..... 그냥 부러진채로 뚜껑열어서 사용하고 있는거 말고 제품은 좋아여,1,21.07.04.,라보에이치,,,,,0.0,,
"머리를 감았는데 감은건지 안감은건지 기름진거 같고, 몇사간지나면 떡진것 같이 보여요  냄새 플라스틱같은 이상한 냄새고 너무 아쉽네여",1,20.11.20.,라보에이치,,0.0,0.0,,,,
두피가 가렵고 머리가 많이 빠져서 다시 그전에 쓰던 도브비누로 돌아 갔어요. 남편은 괜찮다고 하니 개인차가 있나보네요,1,20.10.18.,라보에이치,,,,0.0,,,
오전엔 저자극 타사샴푸 오후엔 라보 이렇게 썻습니다 둘다 머리감고나면 왜이렇게 따끔거리고 머리가 많이빠지는지 저랑은 안맞아요ㅠㅠ참고로 민감성 지성두피입니다,1,20.08.25.,라보에이치,,,,0.0,,0.0,
디렉터파이 보고 샀는데 두 세번 쓰자마자 두피빨개져서 버렸습니다,1,20.09.02.,라보에이치,,,,0.0,,,
성분은순하지만 기름기제거는되는데 금방 기름지고 탈모도 완화되지않고있어요ㅜㅜ 향도 정수리냄새 잡아주지못해서 아쉽,1,20.07.26.,라보에이치,,,,,,,
물건이 파손되서 교환밖에 안된다는 메세지를 받았고 제가 직접 교환 신청을 했는데 그뒤로는 품절이라 교환이 어렵다는 메세지를 받았습니다 재입고 일정을 알려주던지 펌프를 보내주던지 해야지 아모레 측은 이런식으로 고객 관리를 하나요 제가 다시 재포장해서 반품하고 나중에 재입고 언제 되는지 수시로 들어와서 확인해서 다시 재구입해야하나요 재입고 일정 알려주고 불편하지만 이후에 방문을 해달라던지 펌프를 구해주던지 아모레측의 실수로 상품을 사용하지 못하는 부분에 대한 사과의 노력은 전혀 없네요 최근 인스타에서 공동구매를 진행하는갈 보았는데 그쪽으로 재고가 다 넘어갔나 보군요 소수의 소비자는 전혀 배려하지 않는 모습에 실망이 큽니다,1,20.07.10.,라보에이치,,,,,0.0,,
"한달 사용 리뷰 쓰기 정말 기다렸습니다. 처음 사용하고는 시원한 느낌이 있어 좋은줄 알았는데  보름정도 후 부터 두피랑 이마쪽에 뾰루지가 올라왔습니다. 샴푸때문이라곤 생각도 못하고 새로 먹기 시작한 곤약젤리 탓인가 싶어 다 버리고 새로 먹기 시작한 유산균도 다 버렸습니다.. 뭐가 문젠지 몰라 한참 스트레스 받던 와중에 샴푸 바꿨냐고 미용실 쌤이 그러셔서 맞다고 하니 중단 해보랍디다. 바꾼지 2일만에 심했던 두피 뽀루지 다 없어지고 엄청나게 빠지던 머리카락도 안빠집디다. 진짜 화나고 열받아서 샴푸 다 짜서 변기 청소했어요. 맞는사람도 분명 있겠지만, 왠만한 샴푸나, 기초화장품에 예민하지 않은 제가 이정도 반응이였다면 너무 자극적인건 아닌가 싶네요. 아 그리고 거품 정말 안나요. 단발인데 4번 펌핑질 하고 덜 씻긴것 같아서 2번씩 감았어요. 시원한 감은 있지만 그게 자극이 된것같기도 하구요.",1,20.06.24.,라보에이치,,0.0,,0.0,,0.0,
디렉터파이님 영상보고 샀습니다 가려움증이나 탈모 완화 기능을 보고 샀는데 오히려 가려움증이 심해지고 비듬이 엄청 생기네요? 비듬이 너무 갑자기 많아져서 4일 쓰고 이제 안 씁니다 돈 아까워요 ㅠ,1,20.08.05.,라보에이치,,,,0.0,,,
좋다고 해서 ㅠㅠ여기저기 찾아보다가 구매했는데 저한테는 안맞았나봐요 이렇게 머리카락 많이빠지는 샴푸는 처음이에요.상상그이상..그래도 이것저것 많이써봤는데 진짜 샴푸하먄 하루종일 머리가빠져요 샴푸하는순간부터 말리는순간 다말리고 일상생활해도 손빗질만해도 머리카락 우수수빠져요..탈모샴푸인데 이렇게많이빠져서 진짜충격이에요.바로버렸어요..,1,20.06.21.,라보에이치,,,,,,0.0,
"좋은 후기가 많아 괜찮은 제품이라고 생각했는데, 저희 부부에겐 아니였네요. 우선 거품도 풍부하지 않고, 헹궜을때도 깨끗하다는 느낌이 없었어요. 두피도 저희 신랑이 예민하고 트러블이 심한편인데, 트러블이 더 심해졌어요. 머리빠짐도 원래 머리빠짐이 좀 있었는데 저와 저희 신랑 더 많아져서 15일만에 다른 제품을 샀어요. 1달 후기 처음 남기는데,, 사람마다 다르니 잘 선택하셨으면 합니다~~~",1,20.06.15.,라보에이치,,0.0,,0.0,,,
음...여름에 쓰기엔 쿨링감때문에 좋겠다?정도? 진짜 리뷰는 한달뒤에 올려보겠습니다.,1,20.06.18.,라보에이치,,,,,,,
아직 몇칠사용안했지만 저는  일반삼퓨 쓰면 바로 두피에 지극이 오는데 이제품은  좋아요,1,20.06.09.,라보에이치,,,,1.0,,,
제가 원래  쓰던 샴푸가 엄청 좋았던건지 이 제품이 별로인건지 전 이샴푸로 바꾸고나서 두피때문에 2주쯤 엄청 고생했습니다 미용실에서도 샴푸 바꿨냐고 두피상태 왜 이러냐고 바로 알더라구요 머리도 엄청 가렵고 개운하지 않고 미칠뻔해서 다시 예전샴푸로 바꿨더니 괜찮아졌네요 저는 영 안맞아서 구석으로 옮겨놨어요ㅠㅠ,1,20.05.12.,라보에이치,,0.0,,0.0,,,
목 뒤랑 두피에 트러블이 자꾸 나서 사용을 중단했어요 ㅠㅠ 아무래도 저랑 안 맞나봐요.. 아쉽습니다ㅠㅠ,1,20.06.01.,라보에이치,,,,0.0,,,
글쎄요..... 머리가 깨끗해지는 느낌이 전혀 들지 않아요.ㅠ  머리카락은 빠지는건 확실히 덜해요. 깨끗하고 청량한 느낌이 들지않으니 손이 안가네요. 화장실 청소용으로 쓰고 있어요 ㅠ,1,20.04.28.,라보에이치,,0.0,,,,1.0,
별로에요 ㅠ 거품도 잘 안나고. 민트가 강해서 오히려 자극적인 느낌이네요,1,20.04.21.,라보에이치,,0.0,,0.0,,,
한달정도 사용해봤는데 다른 맥주효모삼푸와달리 효과가 전혀없습니다. 가격이 싼데는 이유가 있는것 같네요,1,23.06.14.,이지마인드,1.0,,,,,,
두피에 뽀류지가 나서 사용을 못하고있네요,1,22.12.15.,이지마인드,,,,0.0,,,
다 좋은데.... 비듬이 엄청 생겨요... 저만 그런가 했는데 온 가족이 다 그래요...ㅜ.ㅜ,1,22.09.16.,이지마인드,,,,0.0,,,
이거쓰고 오히려 머리가 더 빠져요…,1,22.06.30.,이지마인드,,,,,,0.0,
계속 쓰고 있는데 탈모 효과는 없는듯 하네요 머리결은 포기하세요,1,21.08.17.,이지마인드,,,,,,0.0,
